Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
13:13:28,7.528018449147189;0.8149014504751362;11.468475348092255,13.74267270055162,33;33;33,7.528018449147189e-06;8.149014504751362e-07;1.1468475348092256e-05,43.10696500000001;5.8783666666666665 
13:13:30,13.662536713281979;4.762840229668441;2.999610465414193,14.776576715848242,68;68;68,1.3662536713281978e-05;4.762840229668442e-06;2.999610465414193e-06,43.10696500000001;5.8783666666666665 
13:13:33,5.1325698089595555;21.7055579153701;4.260307277101916,22.707371828475797,13;13;13,5.132569808959556e-06;2.17055579153701e-05;4.2603072771019156e-06,43.10696500000001;5.8783666666666665 
13:13:35,15.212532892227355;10.669161148068152;1.2357572110168746,18.62200989380916,55;55;55,1.5212532892227355e-05;1.0669161148068153e-05;1.2357572110168746e-06,43.10696500000001,5.8783666666666665 
13:13:37,6.865248562494472;0.4183618005118017;4.687397937734872,8.323362532512988,56;56;56,6.865248562494472e-06;4.183618005118017e-07;4.687397937734872e-06,43.10736833333333;5.879193333333334 
13:13:39,8.720131359099936;5.201153710682305;29.524746201902374,31.221840578813595,16;16;16,8.720131359099936e-06;5.201153710682305e-06;2.9524746201902376e-05,43.10738166666667;5.879265 
13:13:41,11.346894795100232;6.663237797420396;13.719274304667906,19.009714539749552,37;37;37,1.1346894795100232e-05;6.663237797420396e-06;1.3719274304667905e-05,43.107875;5.877244
13:13:44,27.444783509572567;10.084951003392128;2.401060050253534,29.337475487728145,69;69;69,2.744478350957257e-05;1.0084951003392128e-05;2.4010600502535342e-06,43.105369;5.878918 
13:13:46,20.000312722523713;7.98566012064772;12.133739194839066,24.718634740001743,54;54;54,2.0000312722523714e-05;7.98566012064772e-06;1.2133739194839066e-05,43.117413333333324;5.882461666666668 
13:13:48,10.174733565648589;7.06040093739857;3.7671266746190923,12.944717374720137,52;52;52,1.0174733565648588e-05;7.06040093739857e-06;3.7671266746190925e-06,43.117403333333336;5.882471666666667 
13:13:50,8.990726025898969;11.447276687623354;8.79806761109414,17.00821247883404,32;32;32,8.99072602589897e-06;1.1447276687623355e-05;8.79806761109414e-06,43.117403333333336;5.8824700000000005 
13:13:52,5.266620162328442;3.1735641797359104;5.862053127263067,8.495437858286177,38;38;38,5.266620162328442e-06;3.1735641797359104e-06;5.862053127263067e-06,43.11655333333333;5.882485000000001 
13:13:54,10.955966555277946;0.06608994165946402;23.403321228002483,25.840917467106873,25;25;25,1.0955966555277946e-05;6.608994165946403e-08;2.3403321228002483e-05,43.11655333333333;5.882485000000001 
13:13:56,3.1492480691271836;6.230535726548525;6.890811653185835,9.809211185430792,19;19;19,3.1492480691271837e-06;6.230535726548525e-06;6.890811653185836e-06,43.11655333333333;5.882485000000001 
13:13:59,1.249473991393607;12.495363403957516;18.24518832837896,22.149090026232354,3;3;3,1.2494739913936072e-06;1.2495363403957517e-05;1.824518832837896e-05,43.11655333333333;5.882485000000001 
13:14:01,22.43878217379232;10.563791335422291;11.109968589156693,27.17579869798294,56;56;56,2.243878217379232e-05;1.0563791335422292e-05;1.1109968589156693e-05,43.11655333333333;5.882485000000001 
